No,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
1,"Diberi kode: total_belanja=150000; if total_belanja>=200000: diskon=0.15 elif total_belanja>=100000: diskon=0.10 else: diskon=0 — berapa nilai diskon?","0.15","0.10","0","Error, karena tidak ada if yang cocok",B
2,"Kapan sebaiknya memakai while dibanding for?","Saat jumlah perulangan sudah pasti diketahui dari awal","Saat perulangan perlu berjalan selama sebuah kondisi masih benar, jumlahnya belum pasti","while selalu lebih cepat dari for sehingga dipakai terus","for hanya bisa dipakai untuk angka, while untuk teks",B
3,"Apa fungsi enumerate() pada kode: for nomor, nilai in enumerate(penjualan, start=1): print(...)","Mengurutkan isi list dari kecil ke besar","Menghapus duplikat dalam list","Memberi nomor urut pada tiap item saat looping","Mengubah list menjadi dictionary",C
4,"Apa perbedaan utama print() dan return di dalam sebuah function?","Keduanya persis sama, hanya beda nama","print() cuma menampilkan nilai ke layar, return mengirim nilai supaya bisa dipakai lagi di luar function","return hanya bisa dipakai sekali, print() bisa berkali-kali","print() hanya untuk angka, return untuk teks",B
5,"Diberi function def hitung_diskon(total, persen=0.10): return total*persen — apa hasil dari hitung_diskon(200000) tanpa mengisi persen?","Error, karena persen wajib diisi","0, karena persen dianggap kosong","20000.0, karena persen otomatis pakai nilai default 0.10","200000, karena persen diabaikan",C
6,"Apa yang dihasilkan oleh range(1, 5)?","Angka 1, 2, 3, 4, 5","Angka 1, 2, 3, 4","Angka 0, 1, 2, 3, 4","Angka 5, 4, 3, 2, 1",B
7,"Dalam pengantar OOP, DataFrame di Pandas nantinya dipahami sebagai...","Sebuah function bawaan Python","Sebuah objek yang punya data serta method (fungsi bawaan) miliknya sendiri","Nama lain dari list biasa","Sebuah file CSV yang tidak bisa diubah",B
8,"Manakah pernyataan yang benar tentang elif?","elif hanya boleh dipakai maksimal satu kali dalam satu blok kondisi","elif dicek hanya kalau kondisi if sebelumnya bernilai False","elif selalu dijalankan bersamaan dengan if","elif wajib ada di setiap blok if",B
9,"Apa output dari kode: for i in range(3): print(i * 2)","0 2 4 (masing-masing baris berbeda)","1 2 3","0 1 2","Error, karena i belum didefinisikan",A
10,"Function kategori_penjualan(nilai) dibuat untuk mengembalikan Rendah/Sedang/Tinggi. Bagian mana yang membuat hasilnya bisa dipakai lagi di variabel lain?","Nama function-nya","Parameter nilai","Kata kunci return di akhir function","Indentasi kode di dalam function",C
